,Player,Team
0,Joe Burrow,CIN
1,Jared Goff,DET
2,Baker Mayfield,TAM
3,Geno Smith,SEA
4,Sam Darnold,MIN
5,Lamar Jackson,BAL
6,Patrick Mahomes,KAN
7,Aaron Rodgers,NYJ
8,Justin Herbert,LAC
9,Brock Purdy,SFO
10,Kyler Murray,ARI
11,Bo Nix,DEN
12,Matthew Stafford,LAR
13,Josh Allen,BUF
14,C.J. Stroud,HOU
15,Jayden Daniels,WAS
16,Caleb Williams,CHI
17,Kirk Cousins,ATL
18,Jordan Love,GNB
19,Jalen Hurts,PHI
20,Tua Tagovailoa,MIA
21,Russell Wilson,PIT
22,Bryce Young,CAR
23,Drake Maye,NWE
24,Derek Carr,NOR
26,Will Levis,TEN
27,Daniel Jones,NYG
28,Trevor Lawrence,JAX
29,Gardner Minshew II,LVR
32,Anthony Richardson,IND
